url,Elon,Mask,Tesla,total
https://en.wikipedia.org/wiki/Bachelor_of_Science ,0,0,0,0
https://en.wikipedia.org/wiki/Neuralink ,41,0,11,52
https://en.wikipedia.org/wiki/Royal_Society ,0,0,0,0
https://en.wikipedia.org/wiki/Elon_Musk#searchInput ,314,0,177,491
https://en.wikipedia.org/wiki/Pretoria ,1,0,0,1
https://en.wikipedia.org/wiki/Tesla,_Inc. ,109,0,1008,1117
https://en.wikipedia.org/wiki/Elon_Musk#mw-head ,314,0,177,491
https://en.wikipedia.org/wiki/X.com ,16,0,8,24
https://en.wikipedia.org/wiki/The_Boring_Company ,87,0,24,111
https://en.wikipedia.org/wiki/SpaceX ,53,0,22,75
https://en.wikipedia.org/wiki/Elon_Musk ,314,0,177,491
https://en.wikipedia.org/wiki/Bachelor_of_Arts ,0,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:Good_articles ,0,0,0,0
https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society ,2,0,0,2
https://en.wikipedia.org/wiki/PayPal ,8,0,8,16
https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi ,0,0,0,0
https://en.wikipedia.org/wiki/OpenAI ,28,0,13,41
https://en.wikipedia.org/wiki/University_of_Pennsylvania ,5,5,2,12
https://en.wikipedia.org/wiki/Transvaal_Province ,0,0,0,0
https://en.wikipedia.org/wiki/File:Elon_Musk_Royal_Society_(crop2).jpg ,14,1,0,15
